,street,county,state,zip
99010,7866  SADDLEWOOD DR  BESSEMER,Jefferson County,AL,350224321
99011,7932  SADDLEWOOD DR  BESSEMER,Jefferson County,AL,350224193
99012,8493  SHORESIDE LN  HELENA,Jefferson County,AL,350221601
99013,8485  SHORESIDE LN  HELENA,Jefferson County,AL,350221601
99014,8481  SHORESIDE LN  HELENA,Jefferson County,AL,350221601
99015,3528  LAKEFRONT TRL  HELENA,Jefferson County,AL,350221605
99016,8450  SHADY TRL  HELENA,Jefferson County,AL,350224112
99017,3539  LAKEFRONT TRL  HELENA,Jefferson County,AL,350221602
99018,8478  SHORESIDE LN  HELENA,Jefferson County,AL,350221603
99019,8544  SHADY TRL  HELENA,Jefferson County,AL,350221623
99020,8610  SHADY TRL  HELENA,Jefferson County,AL,350221613
99021,8569  SHADY TRL  HELENA,Jefferson County,AL,350221615
99022,7970  BLACKIE CURREN RD  BESSEMER,Jefferson County,AL,35022
99023,3546  TIMBERLAKE DR  HELENA,Jefferson County,AL,350221611
99024,3543  TIMBERLAKE DR  HELENA,Jefferson County,AL,350224110
99025,3615  TIMBER WAY  HELENA,Jefferson County,AL,350224185
99026,3627  TIMBER WAY  HELENA,Jefferson County,AL,350224185
99027,3647  TIMBER WAY  HELENA,Jefferson County,AL,350224185
99028,3603  OAKLEAF DR  HELENA,Jefferson County,AL,350221617
99029,8506  SHADY TRL  HELENA,Jefferson County,AL,350221614
99030,3650  TIMBER WAY  HELENA,Jefferson County,AL,350224186
99031,3626  TIMBER WAY  HELENA,Jefferson County,AL,350224186
99032,3615  OAKLEAF DR  HELENA,Jefferson County,AL,350221617
99033,4141  JONES RD SW BESSEMER,Jefferson County,AL,350224142
99034,4316  TISHBERRY TRL  BESSEMER,Jefferson County,AL,35022
99035,4632  BOB BRILL RD  BESSEMER,Jefferson County,AL,35022
99036,8441  BLUFF RIDGE RD  BESSEMER,Jefferson County,AL,350224180
99037,8447  BLUFF RIDGE RD  BESSEMER,Jefferson County,AL,350224180
99038,4542  EAGLEWOOD DR  BESSEMER,Jefferson County,AL,350227526
99039,4800  WAR EAGLE DR  BESSEMER,Jefferson County,AL,350226877
99040,5817  CHESHIRE COVE TRL  MC CALLA,Jefferson County,AL,351115008
99041,6567  CATHWICK WAY  MC CALLA,Jefferson County,AL,351115009
99042,5880  CHESHIRE COVE TRL  MC CALLA,Jefferson County,AL,351115007
99043,5864  CHESHIRE COVE TRL  MC CALLA,Jefferson County,AL,351115007
99044,5848  CHESHIRE COVE TRL  MC CALLA,Jefferson County,AL,351115007
99045,5447  CHARLES HAMILTON RD  MC CALLA,Jefferson County,AL,351113533
99046,6018  SHADOW LAKE CIR  MC CALLA,Jefferson County,AL,351113536
99047,6057  CRYSTAL DR  MC CALLA,Jefferson County,AL,35111
99048,6067  CRYSTAL DR  MC CALLA,Jefferson County,AL,351113554
99049,6073  MAYFIELD RD  MC CALLA,Jefferson County,AL,351113432
99050,6042  OLD TUSCALOOSA HWY  MC CALLA,Jefferson County,AL,351113506
99051,6398  COVE LN  MC CALLA,Jefferson County,AL,351113492
99052,6370  COVE LN  MC CALLA,Jefferson County,AL,351113492
99053,6319  COVE LN  MC CALLA,Jefferson County,AL,351113492
99054,6355  COVE LN  MC CALLA,Jefferson County,AL,351113492
99055,6405  CARROLL COVE PKWY  MC CALLA,Jefferson County,AL,351113499
99056,5093  EASTERN VALLEY RD  MC CALLA,Jefferson County,AL,351113411
99057,5016  EASTERN VALLEY RD  MC CALLA,Jefferson County,AL,351113402
99058,6001  SHADOW LAKE CIR  MC CALLA,Jefferson County,AL,35111
99059,5657  HIDDEN VALLEY RD  MC CALLA,Jefferson County,AL,351113625
99060,5701  HIDDEN VALLEY RD  MC CALLA,Jefferson County,AL,351113626
99061,5824  HIDDEN VALLEY RD  MC CALLA,Jefferson County,AL,351113623
99062,6380  OLD TUSCALOOSA HWY  MC CALLA,Jefferson County,AL,351113605
99063,5810  DOGWOOD CIR  MC CALLA,Jefferson County,AL,351113638
99064,6331  DOGWOOD LN  MC CALLA,Jefferson County,AL,351113636
99065,6351  DOGWOOD LN  MC CALLA,Jefferson County,AL,351113636
99066,6361  DOGWOOD LN  MC CALLA,Jefferson County,AL,351113636
99067,5802 ,Jefferson County,AL,351113641
99068,2100  LAKESIDE DR  MC CALLA,Jefferson County,AL,351113732
99069,2019  LAKESIDE DR  MC CALLA,Jefferson County,AL,351113741
99070,2012  LAKESIDE DR  MC CALLA,Jefferson County,AL,351113700
99071,1945  WATERVIEW CIR  MC CALLA,Jefferson County,AL,351113750
99072,2000  LAKESIDE DR  MC CALLA,Jefferson County,AL,351113700
99073,1914  ROCK MOUNTAIN DR  MC CALLA,Jefferson County,AL,351113754
99074,1930  ROCK MOUNTAIN DR  MC CALLA,Jefferson County,AL,351113754
99075,2002  ROCK MOUNTAIN DR  MC CALLA,Jefferson County,AL,351113755
99076,2006  ROCK MOUNTAIN DR  MC CALLA,Jefferson County,AL,351113755
99077,2014  ROCK MOUNTAIN DR  MC CALLA,Jefferson County,AL,351113755
99078,2126  ROCK MOUNTAIN DR  MC CALLA,Jefferson County,AL,351113756
99079,920  LAKESIDE DR  MC CALLA,Jefferson County,AL,351113727
99080,1004  LAKESIDE DR  MC CALLA,Jefferson County,AL,351113728
99081,917  LAKESIDE DR  MC CALLA,Jefferson County,AL,351113736
99082,1250  LAKESIDE DR  MC CALLA,Jefferson County,AL,351113703
99083,2143  ROCK MOUNTAIN DR  MC CALLA,Jefferson County,AL,351113759
