,street,county,state,zip
49505,1982  BONE DRY RD  WARRIOR,Jefferson County,AL,351802325
49506,9686  RIDGE WAY  KIMBERLY,Jefferson County,AL,350913161
49507,9616  PHARRIS LN  KIMBERLY,Jefferson County,AL,350913037
49508,9622  MEADOW RIDGE PKWY  KIMBERLY,Jefferson County,AL,350913039
49509,9625  MEADOW RIDGE PKWY  KIMBERLY,Jefferson County,AL,350913040
49510,9639  RIDGE WAY  KIMBERLY,Jefferson County,AL,350913162
49511,9678  RIDGE WAY  KIMBERLY,Jefferson County,AL,350913161
49512,9638  RIDGE WAY  KIMBERLY,Jefferson County,AL,35091
49513,9801  BILL JONES RD  KIMBERLY,Jefferson County,AL,35091
49514,1002  DALTON DR  KIMBERLY,Jefferson County,AL,350912001
49515,1016  DALTON DR  KIMBERLY,Jefferson County,AL,350912001
49516,1030  DALTON DR  KIMBERLY,Jefferson County,AL,350912001
49517,9640  BILL JONES RD  KIMBERLY,Jefferson County,AL,35091
49518,9269  MOSLEY LOOP RD  MORRIS,Jefferson County,AL,35116
49519,1144  HICKORY DR  MORRIS,Jefferson County,AL,35116
49520,9012  MACKENZIE CIR  MORRIS,Jefferson County,AL,351161030
49521,1785  BONE DRY RD  KIMBERLY,Jefferson County,AL,350913101
49522,1752  BONE DRY RD  KIMBERLY,Jefferson County,AL,350913102
49523,9475  POLO TRCE  KIMBERLY,Jefferson County,AL,350913046
49524,9469  POLO TRCE  KIMBERLY,Jefferson County,AL,350913046
49525,9442  POLO TRCE  KIMBERLY,Jefferson County,AL,350913043
49526,1016  DERBY PKWY  KIMBERLY,Jefferson County,AL,350913045
49527,9125  HAGOOD RD  KIMBERLY,Jefferson County,AL,350913111
49528,1575  THE MEADOWS CIR  KIMBERLY,Jefferson County,AL,350913168
49529,9284  PROMISE TRL  KIMBERLY,Jefferson County,AL,350913125
49530,9306  ANGEL VIEW LN  KIMBERLY,Jefferson County,AL,350913134
49531,9317  ANGEL VIEW LN  KIMBERLY,Jefferson County,AL,350913135
49532,9309  ANGEL VIEW LN  KIMBERLY,Jefferson County,AL,350913135
49533,9208  BRASHER RD  WARRIOR,Jefferson County,AL,351802231
49534,9208  BRASHER RD  WARRIOR,Jefferson County,AL,351802231
49535,3445  SELF CREEK RD  WARRIOR,Jefferson County,AL,351802215
49536,3501  OLD BRADFORD TRAFFORD RD  WARRIOR,Jefferson County,AL,35180
49537,9250  BRADFORD TRAFFORD RD  PINSON,Jefferson County,AL,351262508
49538,3785  DEAN RD  PINSON,Jefferson County,AL,35126
49539,9068  HORSETRAIL LN  PINSON,Jefferson County,AL,351262524
49540,8996  HORSETRAIL LN  PINSON,Jefferson County,AL,351262593
49541,1914  CORNER RD  WARRIOR,Jefferson County,AL,351802645
49542,1841  CORNER RD  WARRIOR,Jefferson County,AL,351802644
49543,1930  CORNER RD  WARRIOR,Jefferson County,AL,351802645
49544,1964  CORNER RD  WARRIOR,Jefferson County,AL,351802645
49545,1229  ARKADELPHIA RD  WARRIOR,Jefferson County,AL,351802537
49546,1504  ARKADELPHIA RD  WARRIOR,Jefferson County,AL,35180
49547,1445  ARKADELPHIA RD  WARRIOR,Jefferson County,AL,351802541
49548,1440  ARKADELPHIA RD  WARRIOR,Jefferson County,AL,351802540
49549,970  VALLEY RIDGE RD  WARRIOR,Jefferson County,AL,35180
49550,831  DOGWOOD TRL  WARRIOR,Jefferson County,AL,351802514
49551,951  DOGWOOD TRL  WARRIOR,Jefferson County,AL,351802568
49552,11244  US HIGHWAY 31   WARRIOR,Jefferson County,AL,35180
49553,1006  KNOPF DR N WARRIOR,Jefferson County,AL,351801081
49554,11091  US HIGHWAY 31   WARRIOR,Jefferson County,AL,35180
49555,1430  MABEL DR  WARRIOR,Jefferson County,AL,35180
49556,1390  OLD HAYDEN RD  WARRIOR,Jefferson County,AL,35180
49557,1195  OLD HAYDEN RD  WARRIOR,Jefferson County,AL,35180
49558,1152  OLD HAYDEN RD  WARRIOR,Jefferson County,AL,35180
49559,1438  MABEL DR  WARRIOR,Jefferson County,AL,35180
49560,331  TRAFFORD RD  WARRIOR,Jefferson County,AL,351801083
