,street,county,state,zip
0,825  CHEYENNE DR  WARRIOR,Jefferson County,AL,351805900
1,837  CHEYENNE DR  WARRIOR,Jefferson County,AL,35180
2,844  CHEYENNE DR  WARRIOR,Jefferson County,AL,351805901
3,826  CHEYENNE DR  WARRIOR,Jefferson County,AL,351805901
4,797  HART CIR  WARRIOR,Jefferson County,AL,35180
5,765  HART CIR  WARRIOR,Jefferson County,AL,351802006
6,9408  ASBERRY RD  WARRIOR,Jefferson County,AL,351801236
7,9289  ASBERRY RD  WARRIOR,Jefferson County,AL,351801231
8,491  MANN DR  WARRIOR,Jefferson County,AL,35180
9,2446  BONE DRY RD  TRAFFORD,Jefferson County,AL,351729735
10,2415  BONE DRY RD  TRAFFORD,Jefferson County,AL,351729761
11,1600  FRANKLIN PARC DR  WARRIOR,Jefferson County,AL,351802312
12,1824  PARC RIDGE CIR  WARRIOR,Jefferson County,AL,351802304
13,1844  PARC RIDGE CIR  WARRIOR,Jefferson County,AL,351802304
14,1811  PARC RIDGE CIR  WARRIOR,Jefferson County,AL,351802300
15,1866  FRANKLIN PARC LN  WARRIOR,Jefferson County,AL,35180
16,1895  FRANKLIN PARC LN  WARRIOR,Jefferson County,AL,351802318
17,1869  PARC RIDGE CIR  WARRIOR,Jefferson County,AL,351802300
18,1860  PARC RIDGE CIR  WARRIOR,Jefferson County,AL,351802304
19,2992  SMITH MILL RD  TRAFFORD,Jefferson County,AL,351729516
20,3356  SMITH MILL RD  TRAFFORD,Jefferson County,AL,351729517
21,3193  SMITH MILL RD  TRAFFORD,Jefferson County,AL,35172
22,3471  SMITH MILL RD  TRAFFORD,Jefferson County,AL,35172
23,3988  BETHEL RD  PINSON,Jefferson County,AL,351262090
24,3852  BETHEL RD  PINSON,Jefferson County,AL,35126
25,3317  JIM REID DR  TRAFFORD,Jefferson County,AL,351729794
26,3320  JIM REID DR  TRAFFORD,Jefferson County,AL,35172
27,9301  THERMAL RD  WARRIOR,Jefferson County,AL,351802432
28,9945  BRADFORD TRAFFORD RD  WARRIOR,Jefferson County,AL,351802421
29,1012  DALTON DR  KIMBERLY,Jefferson County,AL,350912001
30,1005  DALTON DR  KIMBERLY,Jefferson County,AL,350912009
31,9668  BILL JONES RD  KIMBERLY,Jefferson County,AL,350913029
32,9636  BILL JONES RD  KIMBERLY,Jefferson County,AL,350913029
33,9009  MACKENZIE CIR  MORRIS,Jefferson County,AL,351161031
34,9009  MOSLEY MANOR CIR  MORRIS,Jefferson County,AL,351161000
35,1000  DERBY PKWY  KIMBERLY,Jefferson County,AL,350913045
36,9462  POLO TRCE  KIMBERLY,Jefferson County,AL,350913043
37,1032  DERBY PKWY  KIMBERLY,Jefferson County,AL,350913045
38,1057  DERBY PKWY  KIMBERLY,Jefferson County,AL,350913044
39,531  LEISURE DR  WARRIOR,Jefferson County,AL,351801910
40,415  SKY LN  WARRIOR,Jefferson County,AL,351801916
41,715  CHEROKEE TRL  WARRIOR,Jefferson County,AL,351801904
42,719  CHEROKEE TRL  WARRIOR,Jefferson County,AL,351801904
43,703  NATCHEZ TRL  WARRIOR,Jefferson County,AL,351801962
44,705  NATCHEZ TRL  WARRIOR,Jefferson County,AL,351801962
45,706  NATCHEZ TRL  WARRIOR,Jefferson County,AL,351801961
46,705  PANOLA TRL  WARRIOR,Jefferson County,AL,351801964
47,719  PANOLA TRL  WARRIOR,Jefferson County,AL,351801964
48,746  CHEROKEE TRL  WARRIOR,Jefferson County,AL,35180
49,702  PANOLA TRL  WARRIOR,Jefferson County,AL,351801918
50,145  DANA RD  WARRIOR,Jefferson County,AL,351801419
51,9822  ELLIS RD  WARRIOR,Jefferson County,AL,351801818
52,120  DANA RD  WARRIOR,Jefferson County,AL,35180
53,404  MONTGOMERY ST  WARRIOR,Jefferson County,AL,351801545
54,504  WHISONANT LN  WARRIOR,Jefferson County,AL,351801612
55,219  LOUISA ST  WARRIOR,Jefferson County,AL,351801446
56,312  LOUISA ST  WARRIOR,Jefferson County,AL,35180
57,313  OWENS ST  WARRIOR,Jefferson County,AL,35180
58,212  SELMA ST  WARRIOR,Jefferson County,AL,351801611
59,304  SELMA ST  WARRIOR,Jefferson County,AL,351801626
60,222  SELMA ST  WARRIOR,Jefferson County,AL,351801606
61,510  HIGHWAY 31  S WARRIOR,Jefferson County,AL,351801405
62,8771  WARRIOR KIMBERLY RD  KIMBERLY,Jefferson County,AL,350913020
63,8787  WARRIOR KIMBERLY RD  KIMBERLY,Jefferson County,AL,350913020
64,8767  WARRIOR KIMBERLY RD  KIMBERLY,Jefferson County,AL,350913020
65,524  DOSS FERRY PKWY  KIMBERLY,Jefferson County,AL,350912025
66,504  DOSS FERRY PKWY  KIMBERLY,Jefferson County,AL,350912025
67,543  DOSS FERRY PKWY  KIMBERLY,Jefferson County,AL,350912031
68,258  CRANE RD  GARDENDALE,Jefferson County,AL,350713200
69,9188  PRITCHETT RD  GARDENDALE,Jefferson County,AL,350713275
70,229  CRANE RD  GARDENDALE,Jefferson County,AL,350713218
71,477  PARK AVE  KIMBERLY,Jefferson County,AL,350912014
72,9146  MARK RYAN DR  KIMBERLY,Jefferson County,AL,350912018
73,9143  MARK RYAN DR  KIMBERLY,Jefferson County,AL,350912019
74,9223  MARK RYAN DR  KIMBERLY,Jefferson County,AL,350912023
75,9398  HIGHWAY 31  N KIMBERLY,Jefferson County,AL,35091
76,9159  JEFFERSON ST  KIMBERLY,Jefferson County,AL,350912114
77,9191  JEFFERSON ST  KIMBERLY,Jefferson County,AL,350912114
78,411  LUCAS DR  KIMBERLY,Jefferson County,AL,35091
