,street,county,state,zip
128714,741  MAIN ST  GARDENDALE,Jefferson County,AL,350714615
128715,914  GRUBBS AVE  GARDENDALE,Jefferson County,AL,35071
128716,308  CHURCH STREET CIR  GARDENDALE,Jefferson County,AL,350712686
128717,424  WILLA LN  GARDENDALE,Jefferson County,AL,350714674
128718,433  WILLA LN  GARDENDALE,Jefferson County,AL,350712648
128719,2536  CAUFIELD DR  GARDENDALE,Jefferson County,AL,350714656
128720,608  GAYLE ST  GARDENDALE,Jefferson County,AL,350712606
128721,929  ODUM RD  GARDENDALE,Jefferson County,AL,350713600
128722,615  LAKE ST  GARDENDALE,Jefferson County,AL,350714611
128723,916  BERMUDA DR  GARDENDALE,Jefferson County,AL,350712645
128724,940  BERMUDA DR  GARDENDALE,Jefferson County,AL,350712645
128725,885  ODUM RD  GARDENDALE,Jefferson County,AL,350714117
128726,951  ODUM RD  GARDENDALE,Jefferson County,AL,350714609
128727,642  ODUM RD  GARDENDALE,Jefferson County,AL,350714619
128728,637  ODUM RD  GARDENDALE,Jefferson County,AL,350712663
128729,620  ODUM RD  GARDENDALE,Jefferson County,AL,350714619
128730,541  ODUM RD  GARDENDALE,Jefferson County,AL,350714614
128731,4299  LOCHSHIRE LN  GARDENDALE,Jefferson County,AL,350717600
128732,4216  LOCHSHIRE LN  GARDENDALE,Jefferson County,AL,350717601
128733,4310  LOCHSHIRE LN  GARDENDALE,Jefferson County,AL,350717602
128734,342  GOWINS DR  GARDENDALE,Jefferson County,AL,350712783
128735,366  GOWINS DR  GARDENDALE,Jefferson County,AL,350712783
128736,460  GOWINS DR  GARDENDALE,Jefferson County,AL,350712693
128737,4362  SHIVAS WAY  GARDENDALE,Jefferson County,AL,35071
128738,4355  SHIVAS WAY  GARDENDALE,Jefferson County,AL,35071
128739,4387  SHIVAS WAY  GARDENDALE,Jefferson County,AL,350711130
128740,740  BAUERS LN  GARDENDALE,Jefferson County,AL,35071
128741,4568  MAGNOLIA RIDGE DR  GARDENDALE,Jefferson County,AL,350713668
128742,631  WISTERIA WAY  GARDENDALE,Jefferson County,AL,350713678
128743,4987  CARRINGTON WAY  MOUNT OLIVE,Jefferson County,AL,351173272
128744,3038  WATTS DR  GARDENDALE,Jefferson County,AL,350714631
128745,4618  LANE DR  GARDENDALE,Jefferson County,AL,350712618
128746,4730  CIRCLE LN  GARDENDALE,Jefferson County,AL,350712660
128747,4635  FIELDSTOWN WAY  GARDENDALE,Jefferson County,AL,350711116
128748,866  FIELDSTOWN CIR  GARDENDALE,Jefferson County,AL,350711100
128749,858  FIELDSTOWN CIR  GARDENDALE,Jefferson County,AL,350711100
128750,857  FIELDSTOWN CIR  GARDENDALE,Jefferson County,AL,350711109
128751,4564  SHADY GROVE LN  GARDENDALE,Jefferson County,AL,350712784
128752,4520  SHADY GROVE LN  GARDENDALE,Jefferson County,AL,350712784
128753,4504  SHADY GROVE LN  GARDENDALE,Jefferson County,AL,350712784
128754,4491  SHADY GROVE LN  GARDENDALE,Jefferson County,AL,350713412
128755,4583  SHADY GROVE LN  GARDENDALE,Jefferson County,AL,350712797
128756,963  FIELDSTOWN RD  GARDENDALE,Jefferson County,AL,35071
128757,106  CLUSTER SPRINGS CIR  GARDENDALE,Jefferson County,AL,350712651
128758,113  CLUSTER SPRINGS CIR  GARDENDALE,Jefferson County,AL,350712609
128759,746  CLUSTER SPRINGS RD  GARDENDALE,Jefferson County,AL,35071
128760,122  CLUSTER SPRINGS CIR  GARDENDALE,Jefferson County,AL,350712651
128761,4888  SHADY GROVE RD  GARDENDALE,Jefferson County,AL,35071
128762,4743  CRESTVIEW DR  GARDENDALE,Jefferson County,AL,350716600
128763,4709  CRESTVIEW DR  GARDENDALE,Jefferson County,AL,350716600
128764,4705  CRESTVIEW DR  GARDENDALE,Jefferson County,AL,350716600
128765,4708  CRESTVIEW DR  GARDENDALE,Jefferson County,AL,350716600
128766,4722  CRESTVIEW DR  GARDENDALE,Jefferson County,AL,350716600
128767,695  LONGWOOD WAY  GARDENDALE,Jefferson County,AL,350714101
128768,4361  SPRINGBROOK LN  GARDENDALE,Jefferson County,AL,350714114
128769,4338  SPRINGBROOK LN  GARDENDALE,Jefferson County,AL,350714115
128770,4321  SPRINGBROOK LN  GARDENDALE,Jefferson County,AL,350714114
128771,871  BROOKLINE RD  GARDENDALE,Jefferson County,AL,350714694
128772,4310  HATHAWAY LN  MOUNT OLIVE,Jefferson County,AL,351173459
128773,4322  HATHAWAY LN  MOUNT OLIVE,Jefferson County,AL,351173459
