,street,county,state,zip
178219,3945  GRAHAM DR  FORESTDALE,Jefferson County,AL,352141060
178220,3946  GRAHAM DR  FORESTDALE,Jefferson County,AL,352141060
178221,1529  BURGETT LN  MOUNT OLIVE,Jefferson County,AL,351173015
178222,1543  BURGETT LN  MOUNT OLIVE,Jefferson County,AL,351173015
178223,1575  REPUBLIC LN  BIRMINGHAM,Jefferson County,AL,352146341
178224,1390  REPUBLIC LN  BIRMINGHAM,Jefferson County,AL,352146337
178225,1622  WARNER MINES RD  BIRMINGHAM,Jefferson County,AL,352141068
178226,1918  CANSLER AVE  BIRMINGHAM,Jefferson County,AL,35214
178227,1934  BRACKETT LOOP RD  BIRMINGHAM,Jefferson County,AL,352141093
178228,1518  WARNER LOOP RD  BIRMINGHAM,Jefferson County,AL,35214
178229,2705  OLD CHERRY AVE  BIRMINGHAM,Jefferson County,AL,352141469
178230,3427  BURKE MEADOW CIR  FULTONDALE,Jefferson County,AL,350681467
178231,1713  ROGINA ST  FULTONDALE,Jefferson County,AL,350681166
178232,3024  FOREST DR  FULTONDALE,Jefferson County,AL,350681423
178233,2900  WALKER CHAPEL RD  FULTONDALE,Jefferson County,AL,350681441
178234,1712  ELKWOOD DR  FULTONDALE,Jefferson County,AL,350681413
178235,1704  ELKWOOD DR  FULTONDALE,Jefferson County,AL,350681413
178236,1607  HOLLINGSWORTH DR  FULTONDALE,Jefferson County,AL,35068
178237,1608  ELKWOOD DR  FULTONDALE,Jefferson County,AL,350681409
178238,3004  BURKWOOD RD  FULTONDALE,Jefferson County,AL,350681428
178239,3012  BURKWOOD RD  FULTONDALE,Jefferson County,AL,350681428
178240,1524  KATHY LN  FULTONDALE,Jefferson County,AL,350681416
178241,1504  KATHY LN  FULTONDALE,Jefferson County,AL,350681417
178242,1524  ELKWOOD DR  FULTONDALE,Jefferson County,AL,350681404
178243,1504  ELKWOOD DR  FULTONDALE,Jefferson County,AL,350681404
178244,3010  BRISCOE CIR  FULTONDALE,Jefferson County,AL,350681425
178245,3324  CHAPEL HILLS PKWY  FULTONDALE,Jefferson County,AL,350681556
178246,3282  CHAPEL HILLS PKWY  FULTONDALE,Jefferson County,AL,350686065
178247,3274  CHAPEL HILLS PKWY  FULTONDALE,Jefferson County,AL,350686065
178248,3283  CHAPEL HILLS PKWY  FULTONDALE,Jefferson County,AL,350686059
178249,3307  CHAPEL HILLS PKWY  FULTONDALE,Jefferson County,AL,350681596
178250,3323  CHAPEL HILLS PKWY  FULTONDALE,Jefferson County,AL,350681596
178251,432  ENCLAVE CIR  FULTONDALE,Jefferson County,AL,350681590
178252,3367  CHAPEL HILLS PKWY  FULTONDALE,Jefferson County,AL,350681596
178253,3359  CHAPEL HILLS PKWY  FULTONDALE,Jefferson County,AL,350681596
178254,3360  CHAPEL HILLS PKWY  FULTONDALE,Jefferson County,AL,350681556
178255,3116  SUMMIT LN  FULTONDALE,Jefferson County,AL,350686014
178256,516  SUMMIT CIR  FULTONDALE,Jefferson County,AL,350686010
178257,524  SUMMIT CIR  FULTONDALE,Jefferson County,AL,350686010
178258,3082  SUMMIT DR  FULTONDALE,Jefferson County,AL,350686013
178259,3070  SUMMIT DR  FULTONDALE,Jefferson County,AL,350686013
178260,605  OVERLOOK RD  FULTONDALE,Jefferson County,AL,350686058
178261,601  OVERLOOK RD  FULTONDALE,Jefferson County,AL,350686058
178262,573  OVERLOOK RD  FULTONDALE,Jefferson County,AL,350686003
178263,555  OVERLOOK RD  FULTONDALE,Jefferson County,AL,350686003
178264,3383  CHAPEL HILLS PKWY  FULTONDALE,Jefferson County,AL,350681596
178265,528  ENCLAVE CIR  FULTONDALE,Jefferson County,AL,350681593
178266,519  ENCLAVE CIR  FULTONDALE,Jefferson County,AL,350681594
178267,3115  ENCLAVE LN  FULTONDALE,Jefferson County,AL,350686002
178268,2204  LEONARD LN  FULTONDALE,Jefferson County,AL,35068
178269,245  CHAPEL HILL TRL  FULTONDALE,Jefferson County,AL,350686080
178270,281  CHAPEL HILL TRL  FULTONDALE,Jefferson County,AL,350686080
178271,278  CHAPEL HILL TRL  FULTONDALE,Jefferson County,AL,350686079
178272,266  CHAPEL HILL TRL  FULTONDALE,Jefferson County,AL,350686079
178273,407 W PARK DR  FULTONDALE,Jefferson County,AL,350686074
178274,423 W PARK DR  FULTONDALE,Jefferson County,AL,350686074
178275,410 W PARK DR  FULTONDALE,Jefferson County,AL,350686075
178276,3429  CHAPEL HILLS PKWY  FULTONDALE,Jefferson County,AL,350681597
178277,907  DECATUR HWY  FULTONDALE,Jefferson County,AL,35068
178278,1425  STOUTS RD  FULTONDALE,Jefferson County,AL,350681961
178279,705  MAIN ST  FULTONDALE,Jefferson County,AL,350681871
178280,835  MAIN ST  FULTONDALE,Jefferson County,AL,35068
178281,899  CODY CIR  FULTONDALE,Jefferson County,AL,350684301
178282,503  MAIN ST  FULTONDALE,Jefferson County,AL,35068
178283,1012  DECATUR HWY  FULTONDALE,Jefferson County,AL,350681998
178284,1408  8TH AVE  FULTONDALE,Jefferson County,AL,350681804
178285,700  BROAD ST  FULTONDALE,Jefferson County,AL,35068
178286,1309  7TH AVE  FULTONDALE,Jefferson County,AL,35068
178287,1204  8TH AVE  FULTONDALE,Jefferson County,AL,350681898
178288,1316  7TH AVE  FULTONDALE,Jefferson County,AL,350681810
178289,220  DELANE DR  TRUSSVILLE,Jefferson County,AL,351733234
178290,102  PINE ST  TRUSSVILLE,Jefferson County,AL,351731023
178291,514  ROCKRIDGE AVE  TRUSSVILLE,Jefferson County,AL,351731031
178292,510 N CHALKVILLE RD  TRUSSVILLE,Jefferson County,AL,351731003
178293,525  ROCKRIDGE AVE  TRUSSVILLE,Jefferson County,AL,351731030
178294,111  PINE ST  TRUSSVILLE,Jefferson County,AL,351731022
178295,113  PINE ST  TRUSSVILLE,Jefferson County,AL,351731022
178296,502  PARKWAY DR  TRUSSVILLE,Jefferson County,AL,351731019
178297,111  SOUTH MALL  TRUSSVILLE,Jefferson County,AL,351731138
