,street,county,state,zip
29703,1665  BROOKSIDE COALBURG RD  MOUNT OLIVE,Jefferson County,AL,351173033
29704,4199  OAK PARK DR  MOUNT OLIVE,Jefferson County,AL,351173043
29705,1109  JEW HOLLOW RD  MOUNT OLIVE,Jefferson County,AL,351173100
29706,1101  HODGES DR  MOUNT OLIVE,Jefferson County,AL,351173108
29707,2150  FIELDSTOWN RD  MOUNT OLIVE,Jefferson County,AL,351173105
29708,4140  POWDER MILL RD  MOUNT OLIVE,Jefferson County,AL,351173121
29709,4136  POWDER MILL RD  MOUNT OLIVE,Jefferson County,AL,351173121
29710,4010  CHIEFS TRL  MOUNT OLIVE,Jefferson County,AL,351171103
29711,1300  BROOKSIDE COALBURG RD  MOUNT OLIVE,Jefferson County,AL,351173034
29712,1344  BROOKSIDE COALBURG RD  MOUNT OLIVE,Jefferson County,AL,351173034
29713,1258  EASTERWOOD BLVD  GARDENDALE,Jefferson County,AL,350714204
29714,1225  MOUNTAIN LN  GARDENDALE,Jefferson County,AL,350714215
29715,1256  MOUNTAIN LN  GARDENDALE,Jefferson County,AL,350714214
29716,1244  SIERRA CT  GARDENDALE,Jefferson County,AL,350714216
29717,432  DELTA AVE  GARDENDALE,Jefferson County,AL,350712917
29718,451  PINEYWOOD RD  GARDENDALE,Jefferson County,AL,350712934
29719,410  REGENT CIR  GARDENDALE,Jefferson County,AL,350713022
29720,400  KELLEY CIR  GARDENDALE,Jefferson County,AL,350713017
29721,133  LARK ST  GARDENDALE,Jefferson County,AL,350713008
29722,821  LESLIE LN  GARDENDALE,Jefferson County,AL,350713013
29723,817  LESLIE LN  GARDENDALE,Jefferson County,AL,350713013
29724,3029  HUNTERS RUN  GARDENDALE,Jefferson County,AL,350713026
29725,838  LESLIE LN  GARDENDALE,Jefferson County,AL,350713000
29726,876  LESLIE LN  GARDENDALE,Jefferson County,AL,350713030
29727,898  LESLIE LN  GARDENDALE,Jefferson County,AL,350713030
29728,928  LESLIE LN  GARDENDALE,Jefferson County,AL,350713033
29729,909  LESLIE LN  GARDENDALE,Jefferson County,AL,35071
29730,903  LESLIE LN  GARDENDALE,Jefferson County,AL,350713034
29731,212  HONEYSUCKLE LN  GARDENDALE,Jefferson County,AL,350713040
29732,224  PINEYWOOD RD  GARDENDALE,Jefferson County,AL,350712943
29733,316  NORTHRIDGE RD  GARDENDALE,Jefferson County,AL,350712615
29734,319  IRIS DR  GARDENDALE,Jefferson County,AL,350712604
29735,1809  K C DEMENT AVE  FULTONDALE,Jefferson County,AL,350681251
29736,1028  KELLY DR  BIRMINGHAM,Jefferson County,AL,352351339
29737,909  HILLVIEW DR  BIRMINGHAM,Jefferson County,AL,352351347
29738,833  HILLVIEW DR  BIRMINGHAM,Jefferson County,AL,352351336
29739,1072  MARTINWOOD LN  BIRMINGHAM,Jefferson County,AL,352351352
29740,1008  BELLE MEADE DR  BIRMINGHAM,Jefferson County,AL,352351333
29741,1032  BELLE MEADE DR  BIRMINGHAM,Jefferson County,AL,352351333
29742,1036  BELLE MEADE DR  BIRMINGHAM,Jefferson County,AL,352351333
29743,820  HILLVIEW DR  BIRMINGHAM,Jefferson County,AL,352351337
29744,1025  BROADMOOR DR  BIRMINGHAM,Jefferson County,AL,352351334
29745,1009  BROADMOOR DR  BIRMINGHAM,Jefferson County,AL,352351334
29746,1005  BROADMOOR DR  BIRMINGHAM,Jefferson County,AL,352351334
29747,1044  JEFFERY DR  BIRMINGHAM,Jefferson County,AL,352352609
29748,1028  JEFFERY DR  BIRMINGHAM,Jefferson County,AL,352352609
29749,1004  JEFFERY DR  BIRMINGHAM,Jefferson County,AL,352352609
29750,1016  JEFFERY DR  BIRMINGHAM,Jefferson County,AL,352352609
29751,1020  JEFFERY DR  BIRMINGHAM,Jefferson County,AL,352352609
29752,1012  BROOKSTONE LN  BIRMINGHAM,Jefferson County,AL,352351365
29753,1028  BROOKSTONE LN  BIRMINGHAM,Jefferson County,AL,352351365
29754,1076  BROOKSTONE LN  BIRMINGHAM,Jefferson County,AL,352351365
29755,1065  BROOKSTONE LN  BIRMINGHAM,Jefferson County,AL,352351364
29756,1104  JEFFERY DR  BIRMINGHAM,Jefferson County,AL,352352661
29757,1108  JEFFERY DR  BIRMINGHAM,Jefferson County,AL,352352661
29758,929  WINCHESTER DR  BIRMINGHAM,Jefferson County,AL,352351345
29759,925  WINCHESTER CIR  BIRMINGHAM,Jefferson County,AL,352351326
29760,948  WINCHESTER CIR  BIRMINGHAM,Jefferson County,AL,352351326
29761,901  WINCHESTER DR  BIRMINGHAM,Jefferson County,AL,352351329
29762,930  WILDWOOD DR  BIRMINGHAM,Jefferson County,AL,352351323
29763,934  WILDWOOD DR  BIRMINGHAM,Jefferson County,AL,352351323
29764,949  WILDWOOD DR  BIRMINGHAM,Jefferson County,AL,352351322
29765,933  WILDWOOD DR  BIRMINGHAM,Jefferson County,AL,352351322
29766,820  IDLEWOOD RD  BIRMINGHAM,Jefferson County,AL,352351343
29767,808  IDLEWOOD RD  BIRMINGHAM,Jefferson County,AL,352351314
29768,9729  PARKWAY  E BIRMINGHAM,Jefferson County,AL,352157800
29769,900  IDLEWOOD CIR  BIRMINGHAM,Jefferson County,AL,352351206
29770,989  HUFFMAN RD  CENTER POINT,Jefferson County,AL,352157846
29771,737  JACKSON CIR  BIRMINGHAM,Jefferson County,AL,352351207
29772,804 N MARTINWOOD DR  BIRMINGHAM,Jefferson County,AL,352351230
29773,928 N MARTINWOOD DR  BIRMINGHAM,Jefferson County,AL,352351213
29774,952 N MARTINWOOD DR  BIRMINGHAM,Jefferson County,AL,352351213
29775,916  RIDGEWOOD CIR  BIRMINGHAM,Jefferson County,AL,352351232
29776,960  RIDGEWOOD CIR  BIRMINGHAM,Jefferson County,AL,352351233
29777,968  RIDGEWOOD CIR  BIRMINGHAM,Jefferson County,AL,352351233
29778,904  RIDGEWOOD CIR  BIRMINGHAM,Jefferson County,AL,352351224
29779,903  SCHOOL TER  BIRMINGHAM,Jefferson County,AL,352351118
29780,920  HILLCREST AVE  BIRMINGHAM,Jefferson County,AL,352351103
29781,932  HILLCREST AVE  BIRMINGHAM,Jefferson County,AL,352351103
29782,901  GENE REED RD  BIRMINGHAM,Jefferson County,AL,352351101
29783,859  SCHOOL AVE  BIRMINGHAM,Jefferson County,AL,352351128
29784,818  ROSE DR  BIRMINGHAM,Jefferson County,AL,352351115
29785,826  ROSE DR  BIRMINGHAM,Jefferson County,AL,352351115
29786,955  ROSE DR  BIRMINGHAM,Jefferson County,AL,352351116
29787,915  ROSE DR  BIRMINGHAM,Jefferson County,AL,352351116
29788,827  ROSE DR  BIRMINGHAM,Jefferson County,AL,352351114
29789,809  ZELLMARK DR  BIRMINGHAM,Jefferson County,AL,352352636
29790,817  ZELLMARK DR  BIRMINGHAM,Jefferson County,AL,352352636
29791,820  ZELLMARK DR  BIRMINGHAM,Jefferson County,AL,352352637
29792,804  ZELLMARK DR  BIRMINGHAM,Jefferson County,AL,352352637
