,street,county,state,zip
59406,837  WJ PRATT ST  BIRMINGHAM,Jefferson County,AL,352241071
59407,768  INEZ KING CIR  BIRMINGHAM,Jefferson County,AL,352241068
59408,752  INEZ KING CIR  BIRMINGHAM,Jefferson County,AL,352241068
59409,7405  ENGLAND AVE  BIRMINGHAM,Jefferson County,AL,35224
59410,7401  DENMARK AVE  BIRMINGHAM,Jefferson County,AL,352241022
59411,7448  BELGIUM AVE  BIRMINGHAM,Jefferson County,AL,352241009
59412,7444  BELGIUM AVE  BIRMINGHAM,Jefferson County,AL,352241009
59413,7437  CANADA AVE  BIRMINGHAM,Jefferson County,AL,35224
59414,7425  ARABIA AVE  BIRMINGHAM,Jefferson County,AL,352241039
59415,7405  ARABIA AVE  BIRMINGHAM,Jefferson County,AL,352241039
59416,7244  BELGIUM AVE  BIRMINGHAM,Jefferson County,AL,352241064
59417,7316  DENMARK AVE  BIRMINGHAM,Jefferson County,AL,352241048
59418,7300  DENMARK AVE  BIRMINGHAM,Jefferson County,AL,352241048
59419,7305  ENGLAND AVE  BIRMINGHAM,Jefferson County,AL,352241024
59420,7324  FINLAND AVE  BIRMINGHAM,Jefferson County,AL,352241032
59421,7304  FINLAND AVE  BIRMINGHAM,Jefferson County,AL,352241032
59422,5200  GREECE AVE  BIRMINGHAM,Jefferson County,AL,352242404
59423,5313  KISKA AVE  BIRMINGHAM,Jefferson County,AL,35224
59424,721  QUEBEC DR  BIRMINGHAM,Jefferson County,AL,352242423
59425,525  QUEBEC PL  BIRMINGHAM,Jefferson County,AL,352242425
59426,512  PANAMA ST  BIRMINGHAM,Jefferson County,AL,352242411
59427,708  QUEBEC ST  BIRMINGHAM,Jefferson County,AL,352241549
59428,605  PANAMA ST  BIRMINGHAM,Jefferson County,AL,352242412
59429,509  ROANOKE ST  BIRMINGHAM,Jefferson County,AL,352241614
59430,420  QUEBEC ST  BIRMINGHAM,Jefferson County,AL,352241609
59431,418  PANAMA ST  BIRMINGHAM,Jefferson County,AL,35224
59432,233  QUEBEC DR  BIRMINGHAM,Jefferson County,AL,352242416
59433,209  OREGON ST  BIRMINGHAM,Jefferson County,AL,352241928
59434,228  NEVADA ST  BIRMINGHAM,Jefferson County,AL,352241923
59435,213  NEVADA ST  BIRMINGHAM,Jefferson County,AL,352241922
59436,233  MEMPHIS ST  BIRMINGHAM,Jefferson County,AL,352241916
59437,206  LEXINGTON ST  BIRMINGHAM,Jefferson County,AL,352241732
